variable,Time_label,time
B08302_002,Interval 1: 12:00 a.m. to 4:59 a.m.,12:00 a.m. to 4:59 a.m.
B08302_003,Interval 2: 5:00 a.m. to 5:29 a.m.,5:00 a.m. to 5:29 a.m.
B08302_004,Interval 3: 5:30 a.m. to 5:59 a.m.,5:30 a.m. to 5:59 a.m.
B08302_005,Interval 4: 6:00 a.m. to 6:29 a.m.,6:00 a.m. to 6:29 a.m.
B08302_006,Interval 5: 6:30 a.m. to 6:59 a.m.,6:30 a.m. to 6:59 a.m.
B08302_007,Interval 6: 7:00 a.m. to 7:29 a.m.,7:00 a.m. to 7:29 a.m.
B08302_008,Interval 7: 7:30 a.m. to 7:59 a.m.,7:30 a.m. to 7:59 a.m.
B08302_009,Interval 8: 8:00 a.m. to 8:29 a.m.,8:00 a.m. to 8:29 a.m.
B08302_010,Interval 9: 8:30 a.m. to 8:59 a.m.,8:30 a.m. to 8:59 a.m.
B08302_011,Interval 10: 9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.
B08302_012,Interval 11: 10:00 a.m. to 10:59 a.m.,10:00 a.m. to 10:59 a.m.
B08302_013,Interval 12: 11:00 a.m. to 11:59 a.m.,11:00 a.m. to 11:59 a.m.
B08302_014,Interval 13: 12:00 p.m. to 3:59 p.m.,12:00 p.m. to 3:59 p.m.
B08302_015,Interval 14: 4:00 p.m. to 11:59 p.m.,4:00 p.m. to 11:59 p.m.
